 Seconds	 Resist. (Ohm)
   1907 	10030.2972 
   1910 	10030.2963 
   1912 	10030.2777 
   1914 	10030.2847 
   1916 	10030.2741 
   1918 	10030.2537 
   1920 	10030.2509 
   1922 	10030.2491 
   1924 	10030.2335 
   1927 	10030.239 
   1929 	10030.2201 
   1931 	10030.1933 
   1933 	10030.2153 
   1935 	10030.1908 
   1937 	10030.1889 
   1939 	10030.1782 
   1942 	10030.1633 
   1944 	10030.1512 
   1946 	10030.1555 
   1948 	10030.1419 
   1950 	10030.1297 
   1952 	10030.1376 
   1954 	10030.1306 
   1956 	10030.0911 
   1958 	10030.1054 
   1961 	10030.097 
   1963 	10030.0756 
   1965 	10030.0812 
   1967 	10030.0721 
   1969 	10030.0545 
   1971 	10030.0636 
   1973 	10030.0517 
   1976 	10030.0357 
   1978 	10030.0414 
   1980 	10030.0107 
   1982 	10030.0033 
   1984 	10030.0093 
   1986 	10029.9986 
   1988 	10029.9933 
   1990 	10029.9749 
   1992 	10029.9791 
   1995 	10029.9519 
   1997 	10029.9513 
   1999 	 10029.95 
   2001 	10029.9348 
   2003 	10029.9249 
   2005 	10029.9366 
   2007 	10029.9005 
   2010 	10029.8926 
   2012 	10029.8949 
   2014 	10029.8905 
   2016 	10029.8785 
   2018 	10029.8766 
   2020 	10029.8537 
   2022 	10029.8584 
   2024 	10029.841 
   2026 	10029.8268 
   2029 	10029.8225 
   2031 	10029.8272 
   2033 	10029.7944 
   2035 	10029.8058 
   2037 	10029.8029 
   2039 	10029.7725 
   2041 	10029.7717 
   2044 	10029.7644 
   2046 	10029.7601 
   2048 	10029.7429 
   2050 	10029.7482 
   2052 	10029.7312 
   2054 	10029.7125 
   2056 	10029.7057 
   2058 	10029.7074 
   2061 	10029.7065 
   2063 	10029.6962 
   2065 	10029.6761 
   2067 	10029.669 
   2069 	10029.6674 
   2071 	10029.6545 
   2073 	10029.6605 
   2075 	10029.6514 
   2078 	10029.6303 
   2080 	10029.6333 
   2082 	10029.6186 
   2084 	10029.5953 
   2086 	10029.6092 
   2088 	10029.6092 
   2090 	10029.5914 
   2092 	10029.5802 
   2095 	10029.5757 
   2097 	10029.5664 
   2099 	10029.5618 
   2101 	10029.5625 
   2103 	10029.5581 
   2105 	10029.5338 
   2107 	10029.5232 
   2109 	10029.5134 
   2111 	10029.5072 
   2114 	10029.4985 
   2116 	10029.4989 
   2118 	10029.4873 
   2120 	10029.4641 
   2122 	10029.4737 
   2124 	10029.4578 
   2126 	10029.444 
   2129 	10029.4351 
   2131 	10029.436 
   2133 	10029.428 
   2135 	10029.4074 
   2137 	10029.4031 
   2139 	10029.4038 
   2141 	10029.3749 
   2143 	10029.3783 
   2146 	10029.3821 
   2148 	10029.3618 
   2150 	10029.3569 
   2152 	10029.3559 
   2154 	10029.3394 
   2156 	10029.3369 
   2158 	10029.331 
   2160 	10029.3204 
   2162 	10029.3074 
   2165 	10029.2924 
   2167 	10029.2907 
   2169 	10029.2852 
   2171 	10029.2731 
   2173 	10029.2626 
   2175 	10029.2629 
   2177 	10029.2388 
   2180 	10029.2484 
   2182 	10029.2257 
   2184 	10029.2083 
   2186 	10029.222 
   2188 	10029.2077 
   2190 	  10029.2 
   2192 	10029.1908 
   2194 	10029.1802 
   2196 	10029.1666 
   2199 	10029.1548 
   2201 	10029.169 
   2203 	10029.1618 
   2205 	10029.1402 
